1983,6,56.40,10.20,13
1983,7,39.20,33.90,8
1983,8,71.40,19.50,13
1983,9,194.40,33.30,26
1983,10,112.90,19.70,20
1983,11,77.40,18.30,13
1983,12,150.50,29.60,20
1984,1,194.00,21.80,25
1984,2,85.80,17.80,15
1984,3,60.70,28.70,13
1984,4,53.10,13.20,12
1984,5,43.40,14.70,8
1984,6,47.30,16.00,8
1984,7,46.30,17.50,10
1984,8,59.00,24.40,14
1984,9,88.60,19.00,19
1984,10,123.50,19.40,22
1984,11,187.10,35.40,20
1984,12,99.50,11.40,25
1985,1,102.00,32.60,15
1985,2,123.40,29.60,19
1985,3,115.20,23.90,18
1985,4,66.30,14.10,15
1985,5,53.70,10.70,15
1985,6,101.30,33.70,17
1985,7,50.40,13.90,18
1985,8,177.60,23.00,26
1985,9,80.30,22.90,20
1985,10,84.60,14.20,12
1985,11,99.10,23.90,13
1985,12,180.60,27.10,24
1986,1,105.00,20.30,24
1986,2,5.60,2.70,7
1986,3,115.50,14.00,24
1986,4,40.80,7.70,16
1986,5,142.60,26.90,27
1986,6,74.80,23.90,17
1986,7,68.50,20.00,18
1986,8,226.90,64.80,18
1986,9,4.90,1.40,7
1986,10,91.80,10.70,20
1986,11,147.20,24.10,27
1986,12,221.90,28.90,26
1987,1,78.00,25.50,14
1987,2,129.30,30.70,15
1987,3,129.30,29.80,21
1987,4,98.80,27.70,19
1987,5,24.50,8.60,12
1987,6,122.50,27.70,19
1987,7,42.00,14.40,9
1987,8,88.10,37.00,16
1987,9,119.40,24.70,20
1987,10,147.40,21.30,22
1987,11,74.20,12.50,18
1987,12,184.70,29.80,22
1988,1,256.90,45.50,29
1988,2,80.30,15.80,17
1988,3,115.50,25.10,23
1988,4,67.60,15.60,14
1988,5,117.40,35.20,15
1988,6,59.90,38.30,9
1988,7,131.00,34.10,23
1988,8,116.70,24.70,20
1988,9,34.00,11.20,10
1988,10,238.00,57.20,22
1988,11,56.00,17.10,13
1988,12,65.20,20.60,14
1989,1,100.20,21.80,23
1989,2,118.10,19.50,22
1989,3,167.00,28.50,28
1989,4,60.80,12.50,16
1989,5,8.40,2.10,11
1989,6,62.60,30.70,12
1989,7,12.00,3.90,7
1989,8,101.80,33.40,15
1989,9,71.70,18.70,9
1989,10,121.20,23.70,22
1989,11,78.50,12.10,20
1989,12,239.00,50.60,16
1990,1,166.50,26.50,29
1990,2,213.40,23.70,28
1990,3,25.40,9.10,17
1990,4,31.20,6.30,13
1990,5,33.50,10.10,8
1990,6,125.00,32.50,18
1990,7,68.40,28.20,11
1990,8,38.50,9.60,15
1990,9,38.50,22.30,12
1990,10,144.50,34.20,24
1990,11,54.10,13.90,11
1990,12,93.70,25.00,17
1991,1,117.60,23.20,19
